                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0123,                 5.0255,                 4.1625,                0.00022,                 0.0208,                0.00013,                  4e-05,                 3.8784,                 4.4293,                 4.1138,             0.00046641,             0.00046641,             0.00046641
                      2,                 3.4264,                 4.2013,                 3.6655,                0.00036,                0.01904,                0.00022,                  7e-05,                 3.9029,                 4.7995,                 4.2354,             0.00093341,             0.00093341,             0.00093341
                      3,                 2.6935,                 3.2128,                 2.5821,                 0.6922,                0.03588,                 0.0112,                0.00403,                 2.8624,                  4.693,                 3.1179,               0.001391,               0.001391,               0.001391
                      4,                 2.3559,                 2.7276,                 2.1574,                0.75767,                0.11813,                 0.0798,                0.03299,                 2.2435,                 2.9474,                 2.2248,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.1622,                 2.3269,                 1.9588,                0.60694,                0.18125,                0.20887,                0.10906,                  1.894,                 2.3158,                 1.9032,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.0189,                 2.0606,                 1.8227,                0.91265,                0.22825,                0.28037,                0.14468,                 1.7318,                 1.8353,                 1.7436,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.9027,                  1.905,                 1.7204,                0.73475,                0.29427,                0.31212,                0.15627,                 1.7339,                 1.7124,                 1.7243,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.8409,                 1.7485,                 1.6308,                0.70359,                0.33542,                0.36902,                0.20696,                 1.5895,                  1.493,                  1.638,                0.00133,                0.00133,                0.00133
                      9,                 1.8179,                 1.7229,                 1.6311,                0.81051,                0.32977,                0.40318,                0.22783,                 1.5271,                 1.4822,                 1.5933,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.7511,                 1.5944,                  1.607,                0.65558,                0.38314,                0.41707,                0.23653,                 1.4935,                 1.3684,                 1.5271,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.7299,                 1.5208,                 1.5207,                0.70305,                0.39119,                0.46046,                0.26248,                  1.506,                 1.3391,                 1.5511,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.6101,                 1.4823,                 1.4821,                0.46445,                 0.3572,                0.42532,                0.23675,                 1.4665,                 1.3184,                 1.5047,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.6192,                 1.4127,                 1.4538,                0.72184,                0.38773,                0.46609,                0.26695,                 1.4567,                 1.1992,                 1.5174,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.5697,                 1.3339,                  1.413,                0.65455,                0.46104,                0.50037,                0.28704,                 1.3845,                 1.1105,                 1.4448,              0.0012451,              0.0012451,              0.0012451
                     15,                  1.552,                 1.3284,                 1.4441,                0.53651,                0.47966,                0.48837,                0.28631,                 1.3977,                 1.0838,                 1.4673,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.5227,                 1.2948,                 1.4122,                0.50312,                 0.4031,                0.47957,                0.26971,                 1.4281,                 1.1001,                 1.4938,              0.0012168,              0.0012168,              0.0012168
