                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2026,                0.89799,                 1.2251,                0.78684,                0.68705,                0.73902,                0.48729,                 1.1258,                0.71311,                 1.2808,             0.00078766,             0.00078766,             0.00078766
                     36,                 1.2058,                0.90175,                 1.2173,                0.68468,                0.65772,                0.69056,                0.44797,                 1.1606,                0.75431,                 1.3019,              0.0007688,              0.0007688,              0.0007688
                     37,                 1.2011,                0.87993,                 1.2111,                0.69187,                0.69886,                 0.7115,                0.46003,                 1.1885,                0.73092,                 1.3079,             0.00074994,             0.00074994,             0.00074994
                     38,                 1.1984,                0.87085,                 1.2187,                0.76255,                0.68572,                0.71374,                  0.467,                 1.1348,                0.74246,                 1.3057,             0.00073108,             0.00073108,             0.00073108
                     39,                 1.1966,                0.88247,                  1.223,                0.87536,                0.61497,                0.70809,                0.45877,                 1.1921,                0.72938,                 1.3324,             0.00071221,             0.00071221,             0.00071221
                     40,                  1.184,                0.85418,                 1.1931,                0.79167,                0.68721,                0.74706,                0.49319,                 1.1334,                0.71498,                  1.281,             0.00069335,             0.00069335,             0.00069335
                     41,                 1.1681,                0.86487,                 1.2052,                0.69591,                0.72218,                 0.7268,                0.47185,                 1.1309,                0.72489,                 1.2845,             0.00067449,             0.00067449,             0.00067449
                     42,                 1.1671,                0.86587,                  1.199,                0.78116,                0.68846,                0.73827,                0.48355,                 1.1381,                0.69977,                 1.2813,             0.00065563,             0.00065563,             0.00065563
                     43,                 1.1501,                0.85262,                 1.1771,                0.85503,                 0.6716,                0.75479,                 0.4891,                  1.168,                0.73723,                 1.2862,             0.00063676,             0.00063676,             0.00063676
                     44,                 1.1238,                0.82485,                 1.1941,                0.83755,                0.68521,                0.76463,                0.49967,                 1.1286,                0.68985,                 1.2795,              0.0006179,              0.0006179,              0.0006179
                     45,                 1.1453,                0.86129,                 1.1842,                0.80697,                0.71605,                 0.7736,                0.50859,                 1.1092,                0.70474,                 1.2658,             0.00059904,             0.00059904,             0.00059904
                     46,                 1.1439,                0.82481,                 1.1769,                0.66913,                  0.712,                0.71212,                0.47053,                 1.1146,                0.70778,                 1.2772,             0.00058017,             0.00058017,             0.00058017
                     47,                 1.1259,                0.86638,                 1.1946,                0.79798,                 0.6791,                0.74774,                0.49448,                 1.1236,                  0.682,                 1.2859,             0.00056131,             0.00056131,             0.00056131
                     48,                 1.1427,                0.81414,                 1.1518,                0.80862,                0.69848,                0.75421,                0.49844,                 1.1083,                0.68725,                 1.2672,             0.00054245,             0.00054245,             0.00054245
                     49,                 1.1182,                0.83915,                 1.1575,                0.83768,                0.68186,                0.73586,                0.48317,                 1.1181,                0.66335,                 1.2562,             0.00052359,             0.00052359,             0.00052359
                     50,                 1.1241,                 0.8284,                 1.1706,                 0.7739,                0.70971,                0.76619,                0.50837,                 1.1019,                0.66363,                 1.2757,             0.00050472,             0.00050472,             0.00050472
                     51,                 1.1304,                0.81574,                 1.1776,                0.77179,                0.69012,                0.74776,                0.48931,                 1.1344,                0.67193,                 1.2776,             0.00048586,             0.00048586,             0.00048586
                     52,                 1.1268,                 0.8102,                 1.1578,                0.76954,                0.74788,                0.74299,                 0.4984,                 1.0849,                0.71584,                 1.2441,               0.000467,               0.000467,               0.000467
                     53,                 1.1033,                0.80967,                 1.1529,                0.79388,                 0.6855,                0.75507,                0.49295,                  1.105,                0.71115,                 1.2533,             0.00044813,             0.00044813,             0.00044813
                     54,                 1.1035,                 0.7864,                 1.1579,                0.80999,                0.73572,                 0.7638,                 0.4993,                 1.1091,                 0.6771,                 1.2598,             0.00042927,             0.00042927,             0.00042927
                     55,                 1.0745,                0.79351,                 1.1588,                0.82162,                0.71257,                0.76743,                0.51229,                 1.0959,                0.66869,                 1.2554,             0.00041041,             0.00041041,             0.00041041
                     56,                 1.1058,                0.79158,                 1.1312,                0.74492,                0.71794,                0.74689,                0.49864,                 1.0872,                0.66581,                 1.2373,             0.00039155,             0.00039155,             0.00039155
                     57,                  1.095,                0.77313,                 1.1336,                0.70955,                0.70368,                0.73943,                0.48336,                 1.1141,                0.67945,                 1.2571,             0.00037268,             0.00037268,             0.00037268
                     58,                 1.0892,                0.75139,                 1.1345,                 0.8257,                 0.7333,                0.77323,                0.51564,                  1.083,                0.66893,                 1.2243,             0.00035382,             0.00035382,             0.00035382
                     59,                 1.0869,                0.76624,                 1.1433,                0.85605,                0.67129,                0.77331,                0.51558,                 1.0877,                0.68234,                 1.2343,             0.00033496,             0.00033496,             0.00033496
                     60,                   1.08,                0.79667,                 1.1522,                 0.7661,                0.72153,                0.77214,                0.51046,                 1.0847,                0.68299,                 1.2443,             0.00031609,             0.00031609,             0.00031609
                     61,                 1.0663,                0.77081,                 1.1386,                0.79525,                 0.6963,                0.75931,                0.48987,                 1.1178,                0.71547,                 1.2605,             0.00029723,             0.00029723,             0.00029723
                     62,                 1.0593,                0.76785,                 1.1329,                0.85677,                0.64638,                 0.7516,                0.49821,                 1.0854,                0.73857,                 1.2372,             0.00027837,             0.00027837,             0.00027837
                     63,                 1.0544,                0.74293,                 1.1292,                 0.7346,                0.70965,                0.76238,                0.51244,                 1.0679,                0.67023,                 1.2196,             0.00025951,             0.00025951,             0.00025951
                     64,                 1.0618,                0.74775,                  1.117,                0.83925,                0.66332,                0.75184,                0.49374,                 1.0697,                 0.7019,                 1.2439,             0.00024064,             0.00024064,             0.00024064
                     65,                 1.0616,                0.74708,                 1.1428,                  0.761,                0.73491,                0.76092,                0.51483,                 1.0527,                0.68413,                 1.2205,             0.00022178,             0.00022178,             0.00022178
                     66,                 1.0065,                0.71223,                 1.1205,                0.77134,                0.69867,                 0.7504,                0.50051,                 1.0802,                0.63563,                 1.2403,             0.00020292,             0.00020292,             0.00020292
                     67,                 1.0168,                0.73682,                 1.1285,                0.79201,                0.68477,                0.74983,                0.50977,                 1.0887,                0.73013,                 1.2355,             0.00018406,             0.00018406,             0.00018406
                     68,                 1.0002,                0.70457,                 1.1187,                0.76404,                0.69725,                0.75069,                 0.5009,                 1.0724,                0.66521,                 1.2366,             0.00016519,             0.00016519,             0.00016519
                     69,                0.98973,                 0.6979,                 1.0983,                 0.7841,                 0.6837,                0.73936,                0.48845,                 1.0822,                0.68686,                 1.2533,             0.00014633,             0.00014633,             0.00014633
                     70,                 0.9816,                0.67846,                 1.0927,                0.73762,                0.68294,                0.73982,                0.49163,                 1.0718,                0.71095,                 1.2308,             0.00012747,             0.00012747,             0.00012747
                     71,                0.96592,                0.67302,                 1.1031,                0.80862,                0.64627,                0.73722,                0.49487,                  1.065,                 0.7588,                 1.2339,              0.0001086,              0.0001086,              0.0001086
                     72,                0.97112,                0.67704,                 1.0871,                0.76624,                0.69373,                0.73908,                0.49905,                 1.0555,                0.73283,                 1.2251,             8.9741e-05,             8.9741e-05,             8.9741e-05
                     73,                0.96736,                0.66621,                 1.1018,                0.76777,                0.70803,                0.74661,                0.50155,                 1.0594,                0.69871,                  1.221,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     74,                0.96861,                0.66213,                 1.0964,                0.77097,                0.68336,                0.73682,                0.49418,                 1.0604,                0.75855,                 1.2315,             5.2016e-05,             5.2016e-05,             5.2016e-05
                     75,                0.95238,                 0.6481,                 1.0827,                 0.7707,                0.70544,                0.74484,                0.50736,                 1.0583,                0.74237,                 1.2268,             3.3153e-05,             3.3153e-05,             3.3153e-05
